ID,"Investor Name","Investor Type","Investor Country","Found Domain",Website,"Search Strategy",Status
817,BIMCOR,Pension,Canada,bce.ca,https://www.bce.ca,duckduckgo_search,FOUND
818,"Allianz Trade","Bank/Financial Institution",France,allianz-trade.com,,duckduckgo_search,FOUND
819,CARAC,"Foreign Pension",,irs.gov,https://www.irs.gov,duckduckgo_search,FOUND
820,LetterOne,"Bank/Financial Institution",,letterone.com,https://www.letterone.com,duckduckgo_search,FOUND
821,BBVA,"Fund of Funds",Spain,bbva.com,https://www.bbva.com,direct_website,FOUND
822,Klarphos,"Bank/Financial Institution",Luxembourg,klarphos.com,https://www.klarphos.com,direct_website,FOUND
823,"InPact Partners","Bank/Financial Institution",Switzerland,yellowpages.swiss,https://www.yellowpages.swiss,duckduckgo_search,FOUND
824,"2.718 PRIVATE INVESTMENTS","Family Office",GB,2718.capital,https://www.2718.capital,duckduckgo_search,FOUND
825,"Siusi Spa","Family Office",Italy,siusispa.it,https://www.siusispa.it,direct_website,FOUND
826,"EGF Bank","Bank/Financial Institution",,americanfederalbank.com,,duckduckgo_search,FOUND
827,"Alta Advisors","Family Office",,altafos.com,https://www.altafos.com,duckduckgo_search,FOUND
828,Meketa,,,meketa.com,https://www.meketa.com,duckduckgo_search,FOUND
829,EVLI,"Pension - Public",Finland,etk.fi,https://www.etk.fi,duckduckgo_search,FOUND
830,Dasym,"Family Office",Netherlands,dasym.com,https://www.dasym.com,duckduckgo_search,FOUND
831,"Capital Generation Partners","Family Office",GB,generation.org,https://www.generation.org,direct_website,FOUND
832,"Orous Capital","Bank/Financial Institution",France,banque-france.fr,https://www.banque-france.fr,duckduckgo_search,FOUND
833,Ingka,Corporate,IE,ingka.com,https://www.ingka.com,direct_website,FOUND
834,"Herz family","Family Office",Germany,en.wikipedia.org,,duckduckgo_search,FOUND
835,"Pictet Alternative Advisors","Fund of Funds",Switzerland,pictet.com,,duckduckgo_search,FOUND
836,"Makena Capital Management","Fund of Funds",US,makena.org,https://www.makena.org,direct_website,FOUND
837,"Ohio State University","Non-Profit - Endowment",USA,osugiving.com,https://www.osugiving.com,duckduckgo_search,FOUND
838,TVA,"Pension - Private Non-ERISA",USA,legalclarity.org,https://www.legalclarity.org,duckduckgo_search,FOUND
839,"Emory University","Non-Profit - Endowment",US,news.emory.edu,https://www.news.emory.edu,duckduckgo_search,FOUND
840,"Harwood Capital","Family Office",GB,harwood.org,https://www.harwood.org,direct_website,FOUND
841,Migdal,"Pension - Private Non-ERISA",Israel,migdal.org,https://www.migdal.org,direct_website,FOUND
